CandidateID,FirstName,LastName,DepartmentID,JobRoleID,ApplicationDate,RecruitmentSource,Stage
CAN000001,Agnes,Okafor,DEP010,JR071,2023-01-07,Company Website,Rejected
CAN000002,Elizabeth,Adeyemi,DEP015,JR106,2021-04-20,LinkedIn,Interviewed
CAN000003,Mary,Adeyemi,DEP015,JR105,2019-08-19,Job Portal,Applied
CAN000004,Peter,Ojo,DEP013,JR090,2025-03-26,Job Portal,Hired
CAN000005,Peter,Balogun,DEP001,JR006,2021-02-24,Company Website,Hired
CAN000006,Emmanuel,Okafor,DEP005,JR036,2025-08-18,Campus Recruitment,Rejected
CAN000007,Daniel,Obi,DEP012,JR088,2020-12-21,Referral,Shortlisted
CAN000008,John,Ojo,DEP010,JR071,2019-05-09,Company Website,Interviewed
CAN000009,Comfort,Olawale,DEP011,JR075,2020-10-15,Referral,Shortlisted
CAN000010,John,Adetokunbo,DEP012,JR087,2023-03-09,Campus Recruitment,Rejected
CAN000011,Joseph,Oshodi,DEP003,JR022,2023-05-24,LinkedIn,Appliedd
CAN000012,,Eze,DEP007,JR052,2022-11-07,Company Website,Applied
CAN000013,Hope,Uche,DEP013,JR094,2020-03-09,Campus Recruitment,Offered
CAN000014,Nathaniel,Oyekan,DEP005,JR037,2021-11-27,Campus Recruitment,Shortlisted
CAN000015,Stephen,Adetokunbo,DEP010,JR072,2019-01-15,Company Website,Shortlisted
CAN000016,Joy,Obasanjo,DEP006,JR043,2025-10-08,Company Website,Rejected
CAN000017,John,Eze,DEP001,JR006,2021-04-09,Job Portal,Interview
CAN000018,Simon,Uche,DEP010,JR071,2019-06-20,Job Portal,Interviewed
CAN000019,Juliet,Chukwu,DEP001,JR006,2022-11-01,Job Portal,Shortlisted
CAN000020,Nathaniel,Nnamani,DEP011,JR081,2023-02-07,Referral,Interview
CAN000021,Mark,Obasanjo,DEP008,JR059,2025-10-08,Company Website,Offered
CAN000022,Mary,Adetokunbo,DEP007,JR051,2024-06-06,Company Website,Rejected
CAN000023,Esther,Olawale,DEP013,JR090,2022-04-24,Campus Recruitment,Offered
CAN000024,Faith,Adeyemi,DEP010,JR072,2025-08-23,LinkedIn,Rejected
